ID                               RA                                   DEC                                  period（本次工作）/day              period（VSX）/day
双星：
TIC356920361                     273.670824996147                     56.5882411964535                     2.04969973                     1.02387                     
TIC198457457                     261.834402442489                     56.3749758400075                     0.40552317                     0.40346                     
TIC8677671                       137.452512969354                     30.4268946773603                     1.11422873                     1.1159843                     
TIC353854078                     271.141172855226                     58.3984180326767                     5.22874807                     5.16952                     
TIC229687624                     262.988526566939                     57.1784319381145                     0.61745855                     0.617617                     
TIC270491862                     232.342371553862                     67.2120428150284                     0.44921221                     0.4487956                     
TIC302668828                     163.254392715405                     57.7022194952741                     5.49510298                     5.50762                     
TIC229585356                     271.379753723052                     72.0742791179107                     1.40112146                     1.41958                     
TIC198313291                     233.688392278516                     62.2789805621287                     0.30710297                     0.306718                     
TIC147625755                     184.152306047107                     64.8575892513557                     0.67592235                     0.6758375                     
TIC157273321                     198.72686255025                      59.2956675971946                     5.46890866                     5.52                     
TIC233635280                     146.047415379734                     25.3531830425702                     1.40198575                     1.3741845                     
TIC406781370                     170.523507680638                     46.7259841700573                     0.89660306                     0.896686                     
TIC282925798                     226.95900023556                      63.1171046684827                     2.43271577                     2.44405                     
TIC445836238                     187.548635263808                     63.8890328091938                     1.99003607                     2.00072                     
TIC147610499                     148.619236320859                     69.2228507836466                     0.52781604                     0.52885234                     
TIC389916225                     275.772545113333                     58.9035625331461                     0.55104534                     0.5508738                     
TIC82224114                      150.934449036803                     28.2323937562988                     0.37645187                     0.376128                     
TIC202442615                     227.959831318761                     61.8570230316907                     0.34989683                     0.3500671                     
TIC138578906                     175.759461217239                     60.5768630318358                     1.22178065                     1.23472                     
TIC257023157                     225.248863                           73.053198                            0.41537223                     0.415546                     
TIC103656297                     152.677882356161                     67.6588057234833                     0.2881026                      0.2877891                     
TIC445829772                     173.087323923488                     49.7360191166151                     0.41287101                     0.4103887                     
TIC198407749                     258.736639568061                     58.8578894567144                     0.84221147                     0.83803                     
TIC335661706                     217.181149295431                     81.753895140413                      0.39352408                     0.3971                     
TIC55778901                      182.260416456908                     56.031653742561                      0.35487876                     0.354538609                     
TIC453431591                     147.302690459394                     52.1007925371519                     1.00929453                     1.009849                     
TIC160425283                     235.902727139416                     75.2614115483836                     0.2667909                      0.265359                     
TIC406758816                     161.33543046413                      45.5663066575758                     3.05127985                     3.063295                     
TIC270491267                     232.359738249942                     70.1984142858347                     0.39836394                     0.3992862                     
TIC160228595                     181.712582467926                     77.3158139026076                     2.0973597                      2.09223                     
TIC287085893                     253.309756929024                     70.2665846737192                     0.93514391                     0.93511                     
TIC310994603                     203.710116798811                     65.2550355336522                     1.16154312                     0.58062                     
TIC257002707                     223.932512841357                     76.3065822337431                     0.37732326                     0.3773                     
TIC298666271                     278.351503873267                     58.7064850761225                     0.59725615                     0.597419                     
TIC318217844                     142.852687735753                     49.4678928998048                     1.22015683                     1.2223042                     
TIC148917425                     188.370591907252                     69.7882314153199                     1.1201441                      0                               
TIC8769657                       140.368118571888                     33.4329629325703                     0.42656062                     0.42647                     
TIC154067797                     207.48431883467                      66.4744489875379                     0.23661557                     0.23659                     
TIC287095354                     137.483064685823                     54.4882570202183                     0.4790886                      0.478994587                     
TIC459789367                     144.527997576781                     56.0186914004794                     0.6880308                      0.6873801                     
TIC232971368                     199.405884271822                     71.246747205876                      0.46169925                     0.2297                     
TIC236872887                     302.913987583371                     63.5274143338917                     5.02840336                     5.1                        
TIC202426247                     226.457934284186                     64.0472059603655                     4.40540162                     0                              
TIC329289186                     269.188340277364                     52.8656752193909                     0.55220331                     0                              
TIC198280388                     250.274379704122                     60.606208853859                      0.48903075                     0.488412                     
TIC224605072                     255.599173781734                     58.869979951794                      0.66471158                     0.6648647                     
TIC236973844                     304.903030734756                     62.2574432835924                     5.29955078                     5.298036                     
TIC198242678                     249.766582734884                     60.699660489909                      4.68183414                     4.6296238                     
TIC224607716                     255.891801559584                     57.4997819887596                     0.51126423                     0.51081                     
TIC237277760                     299.119876992589                     73.6159772766561                     3.36489491                     3.364012                     
TIC155894704                     176.371708517934                     72.2495368020614                     1.35345842                     1.357456                     
TIC88646716                      135.850525161485                     38.0984992573702                     0.41560273                     0.41498088                     
TIC233532554                     280.44750529355                      62.6763733704042                     2.83428946                     2.8313215                     
TIC198388252                     258.19533854361                      57.0528889369116                     0.39792107                     0.395155                     
TIC229585542                     271.527156734219                     72.5849547703194                     0.5100304                      0.5103685                     
TIC229461186                     295.102629858108                     60.9202745757044                     0.40226673                     0.402674                     
TIC233208885                     266.351894411372                     69.306083284514                      0.49440823                     0.4937                     
TIC150225473                     143.061794643226                     49.8485253899826                     0.41854678                     0.41838                     
TIC202295392                     175.193135297449                     51.9981720328028                     7.31287644                     7.328238                     
TIC142587827                     167.870400482306                     73.115276884898                      0.43832847                     0.439403                     
TIC142783746                     153.902703063037                     76.6983939105617                     6.12729791                     6.1513                     
TIC21499609                      148.940265130094                     37.1950986695                        8.56220674                     8.477985                     
TIC159346490                     236.235710279461                     79.5171446427413                     0.58159075                     0.58253                     
TIC329246824                     263.884669568087                     57.8025182267876                     0.58701122                     0.58772                     
TIC458481461                     233.462749553225                     63.9071407480291                     2.79822314                     2.806847                     
TIC233720276                     276.357738539978                     62.940388176047                      2.2049969                      1.09920594                     
TIC353939279                     272.315130742532                     58.0173989739427                     4.52679362                     2.2632438                     
TIC219750638                     261.112284669394                     64.2066366137329                     0.40854838                     0.407497                     
TIC272781956                     238.24030088594                      68.7249893297454                     1.65063484                     1.65042                     
TIC160492551                     239.460734323238                     77.7935993526353                     0.60863222                     0.60751                     
TIC153991851                     204.736733000904                     69.8031026024168                     0.52483914                     0.52492618                     
TIC55753802                      181.582465521791                     57.1764413600957                     0.41537821                     0.415547                     
TIC154511165                     187.102913026906                     74.2353901423622                     0.8413491                      0.840374                     
TIC329248002                     263.817855760543                     55.0033949595878                     3.23158414                     3.10886                     
TIC202442974                     227.935103414493                     63.6219799258417                     5.46808398                     5.47798                     
TIC198416591                     260.091197575939                     57.9741809435559                     0.33711602                     0.338736                     
TIC8245065                       157.36156012336                      39.7689945500454                     0.32808587                     0.164007                     
TIC330753460                     144.130685251234                     28.3398018293352                     0.37967615                     0.379496                     
TIC359675849                     280.706060233664                     57.8652098077208                     3.59790614                     3.63                     
TIC233207585                     266.001391556488                     70.2588382971246                     0.30812417                     0.308014                     
TIC148963419                     190.061247864781                     66.2859905267421                     0.56789526                     0.5681644                     
TIC232524483                     193.475473735802                     77.2036889165371                     0.37028967                     0.375                     
TIC356896550                     273.119864690062                     54.7813671333883                     1.94194533                     0.95066                     
TIC272759659                     237.671170234505                     66.4286713463734                     2.45410664                     2.4605                     
TIC53479497                      162.075025501839                     52.3082780201501                     0.27104243                     0.2712788                     
TIC377253090                     286.192292                           58.951286                            0.42445816                     0.42454                     
TIC365936982                     180.182830912562                     77.0833961633702                     5.23518741                     5.2218                     
TIC353894978                     271.685973321098                     56.4070563954253                     3.34375033                     3.34181534                     
TIC147576476                     144.543204507712                     70.6321765637883                     2.24087807                     2.21954                     
