ID                         RA                                DEC
TIC0224292240              183.856509006331                  57.0326123218696
TIC056914413               139.436293315829                  46.206848081355 
TIC0154066690              207.155547917366                  71.4306204565527 
TIC0137752707              175.114294476463                  57.9704055194408 
TIC0253038858              159.049254188805                  44.5133865545595 
TIC056936482               140.4545                          43.5078 
TIC09337981                138.365991896764                  36.0941340963812 
TIC0232633119              269.392283474087                  58.7373020345292 
TIC029172363               135.811479225181                  42.1235591074319 
TIC0198390460              258.217913025319                  57.8626285501871 
TIC039699561               136.773610139292                  47.1533163484877 
TIC0137648019              139.047198232088                  54.0218577296319 
TIC0253040597              159.334838035215                  42.1003923978099 
TIC0229641091              279.389445682986                  74.328508702957 
TIC088723334               151.089428733994                  50.3870520052437 
TIC0219756421              261.794994976749                  61.7577184987826 
TIC0219433431              204.671120883925                  74.3100925241213 
TIC0159613900              219.750878957174                  64.2916603809589 
TIC0377367922              149.109299720682                  54.2437659779882 
TIC0445829119              172.187770190168                  49.559018218115 
TIC0357032546              274.069894827031                  54.1726679387905 
TIC0341527144              130.076195215326                  31.9418948319794 
TIC0257048642              226.984376329292                  76.2007541154575 
TIC0000000311578368        159.624115706979               48.5291123839558
TIC0000000219790151        264.665101027885               61.2378173005558
TIC0000000232634683        269.495547150368               55.1021847578169
TIC0000000236778955        282.889793257901               57.7576201432859
TIC0000000103632031        151.82381628224               69.3460182822671
TIC0000000137968191        153.602724713583               59.3997094862886
TIC0000000230073581        244.178110842733               67.2388418583183
TIC0000000202505095        230.655236632339               62.0470566855921
TIC0000000341687654        192.2615                       66.1102
TIC0000000003664898        127.455636742914               26.7760074390162
TIC0000000313276541        213.112713557769               67.5861554442494
TIC0000000356198675        266.945511296889               52.2278723071351
TIC0000000199666719        252.069307749802               57.8137067841253
TIC0000000229944718        288.184130387764               62.2707086680156
TIC0000000335682360        222.591226727232               65.6458337795136
TIC0000000357102127        275.452006533323               55.1298547741174
TIC0000000103802294        158.572607258826               69.7644650740756
TIC0000000280163882        298.675053584447               68.9892988687725
TIC0000000416857959        142.843736260649               39.0449477158792
TIC0000000307907087        140.918043622129               32.3292315773376
TIC0000000330753460        144.130685251234               28.3398018293352
TIC0000000147938514        166.66266279911               70.3072553678153
TIC0000000288312840        262.663855360878               78.931211435438
TIC0000000233192934        264.05562                       71.878519
TIC0000000232972481        199.46548977176               67.5331422145315
TIC0000000009271387        137.341224069587               39.4175349504042
TIC0000000392365135        155.966088349698               43.8925356341235
TIC0000000441792937        263.171830491618               74.2273179977498
TIC0000000450327316        159.947793327887               38.7313602666436
TIC0000000453428902        146.799753332476               51.9024863433395
TIC0000001981303680        300.391597322767               70.4544963689931
TIC0000000252803724        166.519764423848               42.8804070528231
TIC0000000157835109        149.828306928717               43.8403916787366
TIC0000000103571388        149.62517579996               67.0544449350204
TIC0000000008198488        156.594814129914               37.7535875158684
TIC0000000219792161        264.98205969597               65.001636184414
TIC0000000115858251        157.850904352631               45.5260501866215
TIC0000000230086683        246.784304204707               66.4373950645344
TIC0000000117159425        129.3451                       26.2066
TIC0000000252805299        166.761319917978               44.0047136283949
TIC0000000105485567        144.007289377817               42.8584526806034
TIC0000000422989548        263.49089155227               53.9604205373143
TIC0000000008292258        163.06812647106               41.8262162845155
TIC0000000420129036        290.397982601259               76.5595971104633
TIC0000000154182243        214.332933593767               66.7942271529078
TIC0000000252805947        166.883561946448               43.7656507629254
TIC0000000318339281        164.598864579919               48.2880949765205
TIC0000000402655800        302.504879806895               66.9533802341123
TIC0000000147898701        164.757497400522               69.9890475789654
TIC0000000318230983        162.861825425884               48.6954565099345
TIC0000000156817668        140.608098378524               40.2010574016994
