ID                  RA_OBJ         DEC_OBJ        Teff           logg       
                    (deg)          (deg)          (k)            (cm/s2) 
TIC 233433041       147.540829     27.550316      5578.0         4.58140993     
TIC 229686929       263.044035     55.184242      7443.0         4.21964979     
TIC 263602077       159.217332     75.870867      4594.0         None           
TIC 318354980       165.399484     48.056584      5034.0         None           
TIC 160227884       181.80463      73.328583      6619.0         4.00194979     
TIC 236767970       273.724845     68.565247      3891.0         None           
TIC 219867444       259.054964     71.792352      4803.0         None           
TIC 142446120       147.061057     66.324472      4641.0         None           
TIC 188510956       143.376511     36.486948      4493.0         None           
TIC 159159131       166.594191     57.667016      4704.0         None           
TIC 259002783       289.91374      66.973982      3811.0         None           
TIC 239196353       146.540871     26.053837      4341.0         None           
TIC 88004994        146.928474     20.604756      6582.0         3.66918993     
TIC 257047932       226.723469     75.98529       8360.0         4.23812008     
TIC 252804773       166.70223      47.421196      4735.02001953  None           
TIC 256624190       300.304134     62.391781      3704.0         None           
TIC 148907939       185.103294     71.711893      5152.0         4.58471012     
TIC 233059604       269.793987     64.143924      6592.0         4.29656982     
TIC 229979957       290.213722     65.865105      7300.0         4.11815023     
TIC 142751098       152.366137     74.090118      5753.0         4.46659994     
TIC 256323002       297.768746     63.968127      6855.0         4.00419998     
TIC 117507742       138.162405     29.034842      5966.29003906  None           
TIC 362212370       270.985705     56.373988      6252.77001953  4.44794989     
TIC 232971196       199.095433     71.471644      3282.0         4.94009018     
TIC 256617358       300.129978     64.142188      4380.0         None           
TIC 235678638       285.432286     75.059273      5746.0         4.47528982     
TIC 415761207       162.360875     45.477165      5510.0         4.48929977     
TIC 230390644       286.063926     60.046284      7288.0         4.18878984     
TIC 86278721        141.268752     65.550064      4838.0         None           
TIC 156806118       140.287808     39.812951      4819.0         None           
TIC 900432068       166.474955     53.850808      3707.0         None           
TIC 142586551       167.223127     76.928249      4539.0         None           
TIC 150182605       137.225157     50.784965      5312.5         4.55674982     
TIC 147607049       147.666084     70.208707      6649.33984375  3.8203001      
TIC 233576389       282.372126     65.489406      7117.0         4.24052        
TIC 85287165        156.479403     35.801511      4076.56005859  None           
TIC 230087513       246.9959       68.76814       9994.0         3.47135997     
TIC 39777182        154.749241     44.299418      4749.0         None           
TIC 160584310       243.165333     76.607407      4885.0         4.59387016     
TIC 288298684       260.834019     82.32987       5313.0         4.55882978     
TIC 229687631       262.97997      57.217175      6340.0         4.41329002     
TIC 156510185       220.806329     75.822875      6504.0         4.30526018     
TIC 138576706       175.211236     60.106455      6705.95996094  4.26689005     
TIC 236891221       303.562758     62.668818      5679.0         4.54041004     
TIC 309862109       165.052469     59.209633      5318.0         4.57885981     
TIC 160224876       181.246926     76.762247      6504.58984375  4.23016977     
TIC 55752857        181.301434     56.393335      5603.0         4.46164989     
TIC 229583807       271.046679     76.413561      4225.0         4.30419016     
TIC 8150517         154.974614     41.069588      4194.0         None           
TIC 198238974       249.229144     63.072824      4021.0         None           
TIC 224601357       255.157939     58.669657      4809.0         None           
TIC 142940328       179.464206     67.079363      7279.0         3.96249008     
TIC 286689852       142.598126     21.812688      7612.0         3.89754009     
TIC 188463334       132.866626     38.395752      4615.0         4.57449007     
TIC 270526492       251.719839     81.927784      4658.0         None           
TIC 138542865       158.937702     59.951112      6253.0         4.41682005     
TIC 4891266         147.244043     30.380655      5316.0         None           
TIC 457139618       141.507522     52.16131       4160.58007813  None           
TIC 318230983       162.861825     48.695457      3970.0         4.31594992     
TIC 232649005       281.783906     56.854636      5440.0         4.50093985     
TIC 362222572       286.569165     79.489267      6608.0         None           
TIC 160408494       232.853817     77.349364      4026.0         None           
TIC 308015445       149.847182     27.722989      5534.0         4.53302002     
TIC 1097723         154.98265      27.67577       4980.0         None           
TIC 147560142       163.525167     65.52556       6479.0         4.37720013     
TIC 253037054       158.811725     46.405157      4229.39990234  None           
TIC 233740810       278.040161     61.681127      7457.0         4.18852997     
TIC 105508773       150.862948     43.592814      4755.0         None           
TIC 229746640       280.180081     70.647121      5281.0         4.52287006     
TIC 389913525       275.821967     54.281669      6239.0         4.42251015     
TIC 156494301       218.921511     76.175826      5984.0         4.4759798      
TIC 272680428       234.703786     68.373157      6232.0         3.94947004     
TIC 138709216       137.15792      24.855942      4455.0         None           
TIC 198558443       238.370838     65.288254      5099.0         None           
TIC 232968276       198.250803     67.309685      4653.0         None           
TIC 237204273       293.510736     76.706063      4008.0         None           
TIC 462554216       230.701441     75.377263      5317.0         4.25803995     
TIC 229978829       290.189676     64.076667      7028.0         3.79582        
TIC 141146362       166.140439     58.903873      5201.0         None           
TIC 233081673       271.783457     62.469833      4280.0         4.53900003     
TIC 424391523       281.441673     75.33137       6419.0         4.35758018     
TIC 8915744         143.920855     35.516466      4835.75        None           
TIC 236985769       305.437323     64.171366      7052.0         4.15095997     
TIC 232968657       198.336204     66.972159      5989.0         4.22080994     
TIC 366124061       273.953797     52.733529      3477.0         4.58694983     
TIC 230071539       243.421897     70.158252      6357.0         4.38035011     
TIC 3645653         127.153863     25.334179      6443.0         None           
TIC 232604221       257.917705     61.809733      7245.0         3.9249599      
TIC 137732734       174.233203     56.018229      4857.81005859  4.52096987     
TIC 233732174       277.25064      64.734619      5954.0         4.41660976     
TIC 256457971       298.995587     65.121997      7723.0         4.22309017     
TIC 4845057         147.261855     34.085395      7672.0         4.26538992     
TIC 39126821        152.066549     38.532697      5253.0         4.59334993     
TIC 219095541       269.47666      70.344264      5557.0         None           
TIC 900734088       162.845773     75.994779      7669.0         4.25537014     
TIC 459978312       255.565616     64.60074       5047.0         None           
TIC 229780215       283.102089     70.879664      7206.0         4.29983997     
TIC 233615219       283.720641     62.288617      4978.0         4.61605978     
TIC 229506283       297.037564     61.411248      4041.0         None           
TIC 138542736       158.842895     60.580819      5024.0         4.52760983     
TIC 103582237       150.806582     68.52983       5020.0         None           
TIC 154565055       189.542263     76.511275      6233.0         4.43780994     
TIC 459186984       176.821828     57.854539      4839.20019531  None           
TIC 230128292       251.502768     69.709014      4503.0         None           
TIC 142490137       161.328283     73.522884      4687.0         None           
TIC 224292240       183.856509     57.032612      8670.0         4.10192013     
TIC 269661838       300.942927     71.606669      14106.0        None           
TIC 441790929       262.613856     75.060935      4942.0         None           
TIC 160006147       162.632387     46.992297      4506.56982422  4.47805977     
TIC 318192561       142.015915     48.24933       3854.0         None           
TIC 219850812       256.297092     69.9381        5927.0         4.41609001     
TIC 441762590       260.669663     74.662913      7775.0         4.18251991     
TIC 441800962       264.546679     72.140247      6942.0         4.12474012     
TIC 229670516       251.591512     77.021544      None           None           
TIC 287254251       144.352675     51.145127      5565.0         4.54019022     
TIC 99905293        169.018628     60.027516      4824.0         None           
TIC 422989882       263.38215      54.93403       4711.04980469  4.60656023     
TIC 105377908       140.092447     42.633378      4600.10986328  None           
TIC 148960134       189.218895     70.184726      4268.0         None           
TIC 298049839       191.334707     79.491896      2895.0         5.05337        
TIC 356370295       268.961384     50.946841      3536.0         None           
TIC 202385457       210.711149     62.269962      7060.0         4.22081995     
TIC 377367922       149.1093       54.243766      3836.0         None           
TIC 417921531       186.198154     64.033671      4901.0         None           
