 ID                  RA_OBJ         DEC_OBJ        Teff           logg       
                     (deg)          (deg)          (k)            (cm/s2) 
 TIC 103580569       150.499854     66.857707      3704.0         4.6269002      
 TIC 138505004       157.513311     61.811509      5865.0         3.99343991     
 TIC 8200343         156.964456     39.901245      5225.31005859  4.3441         
 TIC 67949277        142.659639     44.769406      8072.0         4.03178978     
 TIC 362220017       286.025938     78.753128      5389.0         4.5714798      
 TIC 142783746       153.902703     76.698394      6222.0         4.27454996     
 TIC 406929271       287.527166     58.63068       4441.0         4.24349022     
 TIC 202426247       226.457934     64.047206      5668.04003906  4.50555992     
 TIC 284358867       288.031602     58.156757      5152.0         4.10966015     
 TIC 259126645       291.479391     68.935321      6443.0         4.09209013     
 TIC 230386284       285.822        63.9928        None           4.75461006     
 TIC 229400643       292.486488     61.754891      7526.0         4.23003006     
 TIC 328586949       143.142307     56.169694      6201.64990234  4.14054012     
 TIC 392536805       280.319836     58.063758      7164.0         3.9978199      
 TIC 157273321       198.726863     59.295668      7285.0         3.53966999     
 TIC 160472514       237.705974     72.211285      5202.0         None           
 TIC 99784331        141.496699     41.941882      6681.0         4.08026981     
 TIC 198555959       238.048481     64.883468      6167.0         4.08824015     
 TIC 156169159       173.320768     78.323844      6535.0         4.38680983     
 TIC 233524881       279.94582      65.632809      5523.0         4.42837        
 TIC 172529744       142.822443     27.38724       8870.0         3.97176003     
 TIC 235718636       255.084911     83.421375      6368.0         4.55066013     
 TIC 198408416       258.913296     58.864498      5294.18017578  4.23394012     
 TIC 229462143       294.945328     62.011252      8995.0         4.22962999     
 TIC 224607716       255.891802     57.499782      9898.0         3.96766996     
 TIC 232629077       268.980603     56.035321      5460.0         4.35772991     
 TIC 458478250       232.146636     66.358762      5898.0         4.50087023     
 TIC 284892951       132.115653     30.890887      6572.0         4.31088018     
 TIC 236865152       302.63342      62.708578      7112.0         4.09649992     
 TIC 229495981       296.635976     60.889001      6069.0         3.84062004     
 TIC 153977353       203.605038     69.940907      3467.0         4.71174002     
 TIC 377307592       286.986101     59.397796      6058.0         3.99889994     
 TIC 356538022       152.55412      64.135568      4117.0         None           
 TIC 16805614        141.849214     39.510297      3462.0         4.86856985     
 TIC 17206122        146.212061     41.264132      6495.0         3.90036011     
 TIC 198313291       233.688392     62.278981      5780.0         4.37319994     
 TIC 159510109       247.535191     80.307479      5920.0         4.37469006     
 TIC 101547609       129.785584     31.795682      4378.0         None           
 TIC 356015361       254.25021      68.589856      5570.0         3.91192007     
 TIC 166532356       134.854382     32.193332      5788.91015625  4.39258003     
 TIC 142587827       167.8704       73.115277      6696.0         4.08274984     
 TIC 377165642       285.791965     58.153396      5919.0         4.27374983     
 TIC 159464498       244.837311     78.914035      6613.0         3.50880003     
 TIC 376869643       283.404494     76.075873      6331.0         4.4500699      
 TIC 99746674        140.798735     47.689352      5381.62988281  4.42506981     
 TIC 259128582       291.855711     66.012554      6447.0         4.19960022     
 TIC 272759659       237.67117      66.428671      6833.0         3.70911002     
